"filename", "language", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"/home/anani/Source code/active /webstore-api/README.md", "Markdown", 1, 0, 0, 0, 1, 2
"/home/anani/Source code/active /webstore-api/app.js", "JavaScript", 0, 40, 0, 2, 11, 53
"/home/anani/Source code/active /webstore-api/src/authentification/auth.js", "JavaScript", 0, 23, 0, 0, 4, 27
"/home/anani/Source code/active /webstore-api/src/authentification/privatekey.js", "JavaScript", 0, 1, 0, 0, 0, 1
"/home/anani/Source code/active /webstore-api/src/dataBase/mock/RandomusersData.json", "JSON", 0, 0, 7002, 0, 0, 7002
"/home/anani/Source code/active /webstore-api/src/dataBase/sequelize.js", "JavaScript", 0, 33, 0, 0, 5, 38
"/home/anani/Source code/active /webstore-api/src/insomnia/Insomnia_2024-08-01.json", "JSON", 0, 0, 1, 0, 0, 1
"/home/anani/Source code/active /webstore-api/src/models/item.js", "JavaScript", 0, 111, 0, 0, 2, 113
"/home/anani/Source code/active /webstore-api/src/models/user.js", "JavaScript", 0, 43, 0, 0, 0, 43
"/home/anani/Source code/active /webstore-api/src/routes/items/add-item.js", "JavaScript", 0, 22, 0, 0, 0, 22
"/home/anani/Source code/active /webstore-api/src/routes/items/get-item-by-id.js", "JavaScript", 0, 27, 0, 0, 2, 29
"/home/anani/Source code/active /webstore-api/src/routes/items/get-item-picture.js", "JavaScript", 0, 29, 0, 4, 8, 41
"/home/anani/Source code/active /webstore-api/src/routes/items/get-items-by-params.js", "JavaScript", 0, 43, 0, 3, 4, 50
"/home/anani/Source code/active /webstore-api/src/routes/items/get-items.js", "JavaScript", 0, 23, 0, 1, 3, 27
"/home/anani/Source code/active /webstore-api/src/routes/items/remove-item.js", "JavaScript", 0, 23, 0, 1, 1, 25
"/home/anani/Source code/active /webstore-api/src/routes/items/update-item-picture.js", "JavaScript", 0, 39, 0, 4, 6, 49
"/home/anani/Source code/active /webstore-api/src/routes/items/update-item-text.js", "JavaScript", 0, 40, 0, 2, 1, 43
"/home/anani/Source code/active /webstore-api/src/routes/user/add-user.js", "JavaScript", 0, 23, 0, 0, 3, 26
"/home/anani/Source code/active /webstore-api/src/routes/user/get-user-by-param.js", "JavaScript", 0, 28, 0, 0, 1, 29
"/home/anani/Source code/active /webstore-api/src/routes/user/get-user-cart.js", "JavaScript", 0, 24, 0, 0, 4, 28
"/home/anani/Source code/active /webstore-api/src/routes/user/get-user-picture.js", "JavaScript", 0, 21, 0, 1, 3, 25
"/home/anani/Source code/active /webstore-api/src/routes/user/get-users.js", "JavaScript", 0, 23, 0, 1, 2, 26
"/home/anani/Source code/active /webstore-api/src/routes/user/remove-user-picture.js", "JavaScript", 0, 24, 0, 1, 3, 28
"/home/anani/Source code/active /webstore-api/src/routes/user/remove-user.js", "JavaScript", 0, 25, 0, 1, 1, 27
"/home/anani/Source code/active /webstore-api/src/routes/user/update-user-picture.js", "JavaScript", 0, 34, 0, 0, 5, 39
"/home/anani/Source code/active /webstore-api/src/routes/user/update-user.js", "JavaScript", 0, 33, 0, 4, 8, 45
"/home/anani/Source code/active /webstore-api/src/routes/user/user-login.js", "JavaScript", 0, 31, 0, 1, 6, 38
"Total", "-", 1, 763, 7003, 26, 84, 7877